date,visitors_total,bank_holiday,school_holiday,event,freizeitbad_closed,sportbad_closed,sauna_closed,kursbecken_closed,price_adult_90min,price_adult_max,price_reduced_90min,price_reduced_max,sloop_dummy,sloop_days_since_opening
2005-03-20,915,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-03-21,1057,0,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-03-22,1482,0,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-03-23,1883,0,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-03-24,1790,0,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-03-25,2193,3,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-03-26,1481,0,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-03-27,865,0,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-03-28,1942,3,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-03-29,2753,0,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-03-30,3160,0,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-03-31,3135,0,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-01,2054,0,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-02,1529,0,3,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-03,1699,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-04,817,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-05,718,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-06,726,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-07,638,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-08,1089,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-09,1941,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-10,2590,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-11,912,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-12,589,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-13,793,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-14,585,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-15,1015,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-16,1658,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-17,2033,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-18,847,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-19,692,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-20,736,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-21,657,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-22,888,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-23,1216,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-24,1230,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-25,763,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-26,612,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-27,771,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-28,681,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-29,903,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-04-30,937,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-05-01,1085,3,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-05-02,759,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-05-03,616,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-05-04,855,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-05-05,1291,3,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-05-06,1695,0,1,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-05-07,1594,0,0,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0
2005-05-08,1249,0,0,0,0,1,0,0,3.2,6.7,1.7,3.7,0,0
2005-05-09,771,0,0,0,0,1,0,0,3.2,6.7,1.7,3.7,0,0
2005-05-10,549,0,0,0,0,1,0,0,3.2,6.7,1.7,3.7,0,0
